"Folketingsvalget 2011 for Sjællands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"Glim";825;151;63;35;91;53;0;110;272;50
" ";"Hvalsø";2849;641;349;147;420;136;6;298;642;210
" ";"Kr.Såby";1978;401;164;94;203;134;3;345;536;97
" ";"Gevninge";1972;359;184;105;172;139;6;259;650;98
" ";"Lejre";1788;264;310;138;151;127;7;115;562;114
" ";"Osted";2052;382;215;99;194;135;20;301;613;93
" ";"7. GREVE OPSTILLINGSKREDS";44209;8662;3410;2576;2810;2586;116;7327;15049;1668
" ";"Arenaskolen";2491;634;150;93;222;87;9;522;603;170
" ";"Tjørnelyskolen";4841;860;397;285;242;251;9;845;1838;114
" ";"Holmeagerskolen";6940;1371;572;425;484;405;15;1150;2238;278
" ";"Mosedeskolen";3510;648;268;244;173;211;7;517;1377;65
" ";"Karlslundehallerne";5344;919;418;356;309;360;32;812;1985;152
" ";"Tunehallerne";4165;871;350;191;220;232;9;759;1422;111
" ";"Hundigeskolen";3180;799;203;132;289;131;9;648;729;240
" ";"Havdrup";2915;591;225;174;235;158;6;472;906;148
" ";"Det Nordlige Strandområde";4407;734;332;298;257;296;7;643;1692;148
" ";"Det Sydlige Strandområde";6416;1235;495;378;379;455;13;959;2259;242
" ";"8. ROSKILDE OPSTILLINGSKREDS";53819;11498;6327;3028;5605;3149;205;6523;13788;3680
" ";"Roskilde Bymidte";3905;775;543;205;522;256;12;321;841;428
" ";"Klostermarken";4000;787;566;324;385;220;17;366;1057;277
" ";"Sankt Jørgen";5264;1298;709;231;815;214;21;496;970;510
" ";"Hedegårdene";2991;703;388;114;392;130;17;377;589;281
" ";"Østervang";4351;1115;454;181;538;207;23;648;828;353
" ";"Himmelev";5152;876;746;428;473;372;9;443;1530;274
" ";"Svogerslev";2987;720;352;186;273;158;12;322;832;132
" ";"Vindinge";1637;331;183;114;118;96;5;209;480;101
" ";"Vor Frue";752;146;68;32;76;48;2;111;219;50
" ";"Æblehaven";4019;1074;355;147;617;175;27;603;630;391
" ";"Gundsølille";2226;438;217;104;177;130;7;329;704;120
" ";"Jyllinge";4143;712;406;276;259;373;10;648;1335;123
" ";"Gundsømagle";1763;419;152;94;111;97;6;291;523;70
" ";"Baunehøj";2519;408;247;181;146;200;7;329;932;69
" ";"Gadstrup";1552;314;148;92;111;97;5;206;513;66
" ";"Viby";2910;736;264;136;198;142;10;432;879;112
" ";"Snoldelev";756;126;61;29;62;42;4;148;262;22
" ";"Dåstrup";1097;229;104;50;79;68;5;153;353;53
" ";"Trekroner (Roskilde opstillingskreds)";1795;291;364;104;253;124;6;91;311;248
" ";"9. HOLBÆK OPSTILLINGSKREDS";44244;11449;3712;2146;4071;1890;191;6396;11657;2713
" ";"Holbæk Øst";8201;2261;840;477;795;368;32;879;1946;599
" ";"Holbæk Vest";7545;2204;705;363;743;272;29;955;1716;554
" ";"Orø";638;150;32;18;83;25;2;112;153;63
" ";"Vipperød";2725;651;222;171;226;143;11;392;787;122
" ";"Tuse";2770;658;304;178;219;144;7;316;813;131
" ";"Udby";1651;383;115;78;133;85;3;310;440;103
" ";"Tølløse";3092;740;321;117;295;154;17;447;829;171
" ";"St. Merløse";2425;559;196;90;246;98;12;401;668;153
" ";"Regstrup";2625;615;208;137;228;120;10;407;765;134
" ";"Undløse";2194;522;133;83;177;97;13;410;636;123
" ";"Jyderup";3201;886;198;141;304;119;32;455;864;199
" ";"Mørkøv";2716;681;147;108;246;93;9;519;742;169
" ";"Svinninge";2317;630;139;102;200;68;6;400;663;108
" ";"Gislinge";2144;509;152;83;176;104;8;393;635;84
" ";"10. KALUNDBORG OPSTILLINGSKREDS";53798;13443;3454;1786;5207;1784;205;10456;14257;3181
" ";"Asnæs";2667;681;205;116;242;86;5;473;716;141
" ";"Fårevejle";2596;639;183;80;243;94;7;489;707;152
" ";"Grevinge";1679;413;100;33;167;60;7;354;436;109
" ";"Hørve";2149;525;149;74;185;67;13;394;608;133
" ";"Odden";982;250;54;21;88;28;1;235;244;61
" ";"Vig";2074;487;125;91;164;84;3;380;633;107
" ";"Nykøbing (Kalundborg opstillingskreds)";4093;1216;278;149;400;113;24;620;999;294
" ";"Rørvig";1198;250;121;66;120;37;2;168;331;103
" ";"Egebjerg (Kalundborg opstillingskreds)";1041;225;81;40;109;37;6;190;235;118
" ";"Højby";2483;642;146;68;227;64;5;483;658;189
" ";"Lumsås";481;72;36;15;65;14;2;95;127;54
" ";"Nr. Asmindrup";706;171;42;27;45;24;0;147;169;80
" ";"Føllenslev";2313;515;128;68;236;66;4;558;563;174
" ";"Sejerø";283;80;11;6;36;5;5;54;74;12
" ";"Svebølle";2815;763;143;90;290;94;12;587;660;175
" ";"Gørlev";2007;512;88;52;172;50;8;432;582;107
" ";"Kr. Helsinge";1178;225;55;31;99;74;6;265;374;46
" ";"Reersø";442;75;21;13;38;17;1;124;119;34
" ";"Svallerup";784;158;46;23;85;25;4;182;232;28
" ";"Ubby";1993;499;121;64;190;70;9;405;567;68
" ";"Høng Nord";1757;421;137;62;185;58;7;331;460;96
" ";"Buerup";1234;223;79;28;141;56;3;216;390;98
" ";"Høng Syd";1527;396;84;57;145;47;7;315;408;67
