"Folketingsvalget 2011 for Østjyllands Storkreds efter tid, område og"
"valgresultat"

" ";" ";"GYLDIGE STEMMER I ALT";"A. Socialdemokratiet";"B. Radikale Venstre";"C. Det Konservative Folkeparti";"F. SF - Socialistisk Folkeparti";"I. Liberal Alliance";"K. Kristendemokraterne";"O. Dansk Folkeparti";"V. Venstre, Danmarks Liberale Parti";"Ø. Enhedslisten - De Rød-Grønne"
"2011"
" ";"Assentofthallen";2570;620;182;105;107;105;19;272;1126;34
" ";"Uggelhuse Forsamlingshus";685;193;39;26;54;23;6;106;196;42
" ";"8. FAVRSKOV OPSTILLINGSKREDS";29957;7972;2578;1303;2166;1301;163;3512;9814;1140
" ";"Hadsten Nord";3545;948;327;162;237;172;13;370;1184;131
" ";"Hadsten Syd";2439;664;231;107;170;87;16;269;811;84
" ";"Hadbjerg";1387;336;132;78;94;67;10;171;467;32
" ";"Hammel Nord";4832;1394;352;257;351;176;21;563;1558;159
" ";"Hammel Syd";1385;343;117;49;100;78;6;201;419;72
" ";"Haldum-Hinnerup/Vitten";2784;753;330;131;250;123;16;262;801;118
" ";"Rønbæk/Grundfør";2686;686;262;130;209;109;17;263;909;100
" ";"Foldby";1048;265;90;28;105;37;7;126;328;61
" ";"Ulstrup";2726;698;191;87;180;131;19;411;916;93
" ";"Thorsø/Haurum/Sall";2404;611;162;81;139;127;14;334;857;78
" ";"Laurbjerg/Houlbjerg";1322;412;83;28;87;51;2;154;415;90
" ";"Søften";1821;465;201;109;117;78;16;148;635;52
" ";"Voldum";816;202;39;29;59;33;3;134;293;23
" ";"Lading";762;195;61;27;68;32;3;106;221;47
" ";"9. SKANDERBORG OPSTILLINGSKREDS";54062;13975;5301;2200;4896;2519;209;5421;16703;2825
" ";"Odder";7930;2278;761;348;790;306;41;701;2320;383
" ";"Torrild";303;82;25;14;28;11;1;27;102;13
" ";"Saksild - Nølev";1199;279;94;64;130;44;9;129;394;56
" ";"Randlev - Bjerager";921;230;87;35;85;25;5;104;292;58
" ";"Hou, Gosmer - Halling";1338;361;125;43;140;47;1;121;411;89
" ";"Gylling";723;189;70;33;67;32;4;84;204;40
" ";"Ørting-Falling";910;274;64;15;73;47;5;111;264;57
" ";"Hundslund";850;205;86;24;73;41;0;93;257;69
" ";"Alrø";105;19;8;4;8;5;0;12;43;6
" ";"Tunø";93;19;8;7;16;1;1;16;23;2
" ";"Tranebjerg";2321;547;165;115;313;70;5;235;662;209
" ";"Nordby (Skanderborg opstillingskreds)";331;64;36;25;57;10;0;30;78;31
" ";"Ejer Bavnehøj";1560;316;157;47;148;81;1;171;537;102
" ";"Galten";3661;1075;284;126;240;146;21;448;1207;111
" ";"Gl. Rye";1144;220;193;37;139;69;8;78;287;112
" ";"Hørning";5216;1423;438;234;368;252;7;643;1678;172
" ";"Låsby";2280;543;217;85;211;130;4;257;754;79
" ";"Morten Børup";6132;1749;612;223;619;292;17;561;1643;416
" ";"Niels Ebbesen";4273;925;484;245;263;283;15;340;1553;164
" ";"Ry";4280;948;648;146;455;240;10;296;1199;337
" ";"Skovby";2876;814;250;96;220;120;20;380;848;126
" ";"Stilling";2766;760;247;125;216;115;8;283;936;76
" ";"Stjær";1437;321;131;62;143;74;21;126;490;69
" ";"Virring";1413;334;111;47;94;78;5;175;521;48
" ";"10. HORSENS OPSTILLINGSKREDS";51880;13595;4242;1770;4521;3272;252;6851;14855;2508
" ";"Sønderbro";3787;1344;235;97;450;187;14;531;626;302
" ";"Vestbyen (Horsens opstillingskreds)";3437;1051;259;78;459;166;12;462;668;280
" ";"Midtbyen";5744;1473;510;234;597;438;28;701;1384;374
" ";"Endelave";138;37;13;8;4;4;0;14;39;19
" ";"Østbyen";4473;1486;376;111;518;271;22;568;803;317
" ";"Dagnæs";6210;1869;470;200;480;325;27;853;1776;210
" ";"Torsted (Horsens opstillingskreds)";3564;1026;244;110;292;208;11;532;1028;111
" ";"Hatting";1500;342;113;59;91;107;3;193;563;29
" ";"Tamdrup";1552;372;99;40;103;104;3;214;559;58
" ";"Egebjerg (Horsens opstillingskreds)";1767;446;156;52;122;125;15;243;535;73
" ";"Stensballe";4162;691;360;239;191;475;23;425;1655;103
" ";"Højvangen";2799;710;219;100;206;167;6;360;954;77
" ";"Brædstrup";3067;600;268;119;182;156;39;476;1133;93
" ";"Nim";1182;229;110;45;82;77;13;175;408;43
" ";"Sdr.Vissing";1181;241;145;34;124;66;7;168;322;74
" ";"Østbirk";2178;462;190;75;168;118;12;302;771;80
" ";"Gedved";1646;370;161;61;151;93;7;210;496;96
" ";"Hovedgård";2225;529;197;72;179;115;7;293;722;110
" ";"Søvind";1268;317;117;36;122;70;3;131;413;59
" ";"11. HEDENSTED OPSTILLINGSKREDS";29562;6250;1833;985;1844;1609;476;4636;11063;863
" ";"Hedensted, St.Dalby Og Urlev";5048;1031;331;194;234;286;74;694;2103;101
" ";"Løsning Sogn";2666;831;139;91;181;103;92;386;776;67
" ";"Ø. Snede Sogn";1386;256;71;35;57;83;120;194;544;26
" ";"Daugård Og Ørum Sogne";1092;214;115;45;60;66;14;151;404;23
" ";"Korning Sogn";434;64;30;13;14;24;33;94;153;9
" ";"Ølsted Og Eriknauer-Området";927;248;51;20;60;47;3;139;317;42
" ";"Juelsminde/Klakring";2938;598;180;125;150;161;12;473;1153;86
" ";"As";505;91;19;13;31;33;2;75;225;16
" ";"Barrit";1142;237;46;34;95;64;7;207;398;54
" ";"Bjerre";983;209;59;36;78;53;4;166;343;35
" ";"Hornsyld";1265;281;74;53;85;67;6;196;481;22
" ";"Stouby";1117;195;83;38;104;72;15;149;410;51
" ";"Rårup";1021;210;66;31;95;74;6;182;313;44
" ";"Glud";1541;311;100;48;105;98;7;222;587;61
" ";"Hjarnø";83;11;12;6;11;5;0;5;23;10
" ";"Rask Mølle";939;209;71;19;73;35;4;166;334;28
" ";"Hvirring";368;58;18;10;19;24;4;73;146;16
" ";"Hornborg";531;83;29;22;48;42;4;90;193;20
" ";"Lindved";1219;259;63;36;66;50;33;164;516;32
" ";"Tørring";1828;357;113;53;116;92;25;361;661;50
" ";"Uldum";1027;217;62;19;57;46;6;180;413;26
" ";"Aale";559;108;36;14;46;33;1;105;205;11
" ";"Ølholm";639;131;44;20;38;32;4;108;247;15
" ";"Hjortsvang";304;41;21;10;21;19;0;56;118;18

