"","unit","allvotes","sd","rv","kf","sf","la","kd","df","ve","el","redshare"
"386","frederikshavn syd",4749,1774,227,203,387,170,21,602,1204,161,0.488945041061276
"387","ravnshoej",1322,377,68,48,122,37,7,147,476,40,0.407715582450832
"388","gaerum",1341,328,66,59,75,74,10,150,542,36,0.327367636092468
"389","saeby",6188,1930,344,367,477,195,27,732,1927,187,0.419198448610213
"390","broenden",331,88,13,13,27,8,3,36,128,15,0.392749244712991
"391","dybvad",770,237,29,21,46,33,4,108,273,19,0.392207792207792
"392","hoerby (frederikshavn opstillingskreds)",586,193,26,13,44,21,10,65,189,25,0.447098976109215
"393","praestbro",340,97,15,8,36,17,2,41,101,23,0.458823529411765
"394","thorshoej",507,143,15,21,51,24,9,85,143,16,0.414201183431953
"395","understed",402,92,21,17,32,26,1,67,129,16,0.348258706467662
"396","voersaa",548,143,29,15,33,16,0,105,179,28,0.372262773722628
"397","volstrup",452,138,25,26,33,24,1,44,148,13,0.407079646017699
"398","oestervraa",1211,335,45,52,61,45,24,161,463,25,0.347646573080099
"399","lyngsaa",400,114,18,23,32,6,3,69,123,12,0.395
"400","vesteroe havn",483,111,27,15,37,10,3,98,160,22,0.351966873706004
"401","byrum",561,166,43,20,31,12,4,112,140,33,0.409982174688057
"402","oesterby havn",301,100,9,14,25,15,2,46,82,8,0.441860465116279
"404","horne (hjoerring opstillingskreds)",1270,317,88,110,102,48,22,187,353,41,0.362204724409449
"405","hirtshals",3907,1193,175,406,305,94,38,689,874,133,0.417455848477092
"406","hjoerring - centrum",6098,1830,479,388,647,225,29,582,1566,347,0.463102656608724
"407","tornby",1224,284,95,130,115,42,13,151,344,50,0.366830065359477
"408","bindslev",1159,267,52,89,94,44,12,159,400,42,0.347713546160483
"409","tversted",1174,240,100,78,93,64,18,166,375,40,0.317717206132879
"410","taars",2329,592,148,194,180,88,29,289,749,59,0.356805495920996
"411","vrejlev-haestrup",1260,331,53,63,109,54,6,143,452,48,0.387301587301587
"412","bjergby-mygdal",1176,272,58,86,92,62,8,128,426,44,0.346938775510204
"413","skallerup",1122,273,72,89,124,33,5,129,335,62,0.409090909090909
"414","hjoerring - nord",4420,1461,268,288,438,154,19,423,1198,171,0.468325791855204
"415","hjoerring - syd",4039,1175,270,275,394,160,27,419,1167,151,0.425847982173805
"416","hjoerring - vest",2281,715,151,160,224,52,34,233,624,86,0.449364313897413
"417","vraa",2863,763,192,153,308,120,41,298,876,111,0.412853650017464
"418","hundelev",787,199,49,49,66,29,3,119,242,31,0.376111817026684
"419","loekken",1973,542,109,166,138,63,20,256,604,75,0.382665990876837
"420","sindal",2210,625,105,154,171,74,22,257,750,51,0.383257918552036
"421","astrup",816,180,51,42,83,38,10,73,295,44,0.376225490196078
"422","tolne",875,224,60,39,92,40,5,108,265,42,0.409142857142857
"423","ugilt",733,215,34,35,44,43,4,112,224,22,0.383356070941337
"424","lendum",1208,319,56,52,96,58,12,184,402,29,0.367549668874172
"426","agersted",583,162,34,25,37,43,5,82,165,29,0.391080617495712
"427","asaa",1242,390,57,66,130,52,8,199,281,59,0.466183574879227
"428","dronninglund",3139,876,298,189,242,140,33,335,918,107,0.390251672507168
"429","flauenskjold",884,253,44,48,61,41,11,139,252,35,0.394796380090498
"430","hjallerup",2669,887,166,170,197,105,20,263,813,48,0.424128887223679
"431","klokkerholm",1001,259,74,40,89,44,12,125,318,39,0.386613386613387
"432","thorup 1",257,53,17,17,19,16,4,27,93,11,0.32295719844358
"433","oerum (broenderslev opstillingskreds)",354,92,13,11,32,22,3,47,118,16,0.395480225988701
"434","broenderslev",7966,2782,484,504,656,237,57,863,2092,286,0.467486818980668
"435","stenum",472,145,23,37,35,24,7,54,120,26,0.436440677966102
"436","oe. hjermitslev",269,64,18,13,25,14,3,36,86,10,0.368029739776952
"437","thise",640,169,31,23,51,39,8,80,215,24,0.38125
"438","oe. broenderslev",1042,332,75,53,101,38,9,110,290,34,0.448176583493282
"439","hallund",454,133,25,35,43,15,7,57,121,18,0.427312775330396
"440","hellum",245,38,14,11,27,17,2,28,87,21,0.351020408163265
"441","jerslev",1136,310,59,75,92,45,9,157,345,43,0.391725352112676
"442","sterup",275,72,9,23,25,14,2,41,75,14,0.403636363636364
"443","serritslev",630,167,26,18,59,37,8,71,218,26,0.4
"444","aabybro",3776,1105,248,230,275,147,26,433,1231,81,0.386917372881356
"445","biersted",1321,483,69,68,97,43,10,204,318,29,0.461014383043149
"446","noerhalne",1001,403,51,38,60,40,5,112,272,20,0.482517482517482
"447","vedsted (broenderslev opstillingskreds)",880,325,40,43,73,29,8,83,257,22,0.477272727272727
"448","gjoel",840,240,55,58,46,42,9,71,288,29,0.375
"449","ingstrup",472,107,24,33,65,23,14,85,104,17,0.400423728813559
"450","v. hjermitslev",444,133,19,22,41,15,7,80,112,15,0.425675675675676
"451","brovst",1948,660,100,109,115,69,26,243,566,59,0.428131416837782
"452","halvrimmen",996,316,53,55,78,40,3,127,284,40,0.43574297188755
"453","arentsminde",461,156,8,12,40,15,5,70,139,16,0.459869848156182
"454","tranum",774,205,55,43,80,41,6,108,188,47,0.428940568475452
"455","skovsgaard",1099,368,43,45,84,44,8,164,307,35,0.443130118289354
"456","fjerritslev",2761,853,141,109,225,69,41,387,840,94,0.424483882651213
"457","thorup 2",865,220,55,39,91,35,2,114,270,39,0.404624277456647
"458","oerebro",663,179,41,31,74,30,7,106,181,13,0.401206636500754
"459","trekroner (broenderslev opstillingskreds)",824,205,42,40,88,34,16,93,275,31,0.393203883495146
"460","pandrup",2120,765,134,109,161,50,21,248,553,79,0.474056603773585
"461","kaas",1893,846,87,54,176,63,11,264,313,78,0.581088219756999
"462","hune",1117,246,73,86,69,41,4,203,358,37,0.315129811996419
"463","saltum",871,238,56,53,79,25,3,142,244,31,0.399540757749713
"465","sejerslev",590,203,27,21,36,14,14,82,155,38,0.469491525423729
"466","flade",487,168,41,11,29,9,0,77,123,29,0.464065708418891
"467","bjergby",280,70,27,9,24,18,0,25,98,9,0.367857142857143
"468","sundby (thisted opstillingskreds)",414,132,25,16,27,18,3,59,121,13,0.415458937198068
"469","solbjerg",305,74,17,6,24,20,1,53,106,4,0.334426229508197
"470","thorup",271,58,24,22,18,8,2,37,86,16,0.339483394833948
"471","oe. joelby",625,198,31,19,29,15,3,75,246,9,0.3776
"472","erslev",471,154,28,18,20,15,2,67,143,24,0.420382165605096
"473","toedsoe",613,199,28,26,39,29,2,72,197,19,0.419249592169657
"474","froeslev",433,149,21,21,23,19,6,58,123,13,0.427251732101617
"475","taebring",417,131,25,11,26,15,8,66,123,12,0.405275779376499
"476","fredsoe",607,171,33,21,48,31,4,82,207,10,0.377265238879736
"477","vils",573,163,45,13,25,33,0,82,198,14,0.352530541012216
"478","karby",629,161,24,20,38,76,3,93,199,15,0.340222575516693
"479","redsted",454,132,15,10,22,28,9,75,143,20,0.383259911894273
"480","oerding",432,98,22,17,29,15,6,65,156,24,0.349537037037037
"481","oe. assels",474,155,18,7,29,17,4,86,139,19,0.428270042194093
"482","nykoebing (thisted opstillingskreds)",6080,2434,315,231,451,201,58,595,1564,229,0.512171052631579
"483","thisted by",5875,2071,328,253,398,183,85,639,1682,233,0.459914893617021
"484","harring-stagstrup",873,289,48,34,38,26,28,133,257,20,0.397479954180985
"485","hillerslev-kaastrup",635,163,28,31,26,31,8,87,239,22,0.332283464566929
"486","hundborg-jannerup",655,182,32,37,50,14,24,106,166,43,0.419847328244275
"487","vorupoer",475,152,29,18,16,9,3,116,118,14,0.383157894736842
"488","nors-tved",1092,237,48,58,56,45,14,131,475,28,0.293956043956044
"489","sennels",856,229,53,59,40,23,3,91,340,17,0.33411214953271
"490","sjoerring-thorsted",986,300,72,44,69,35,13,110,317,26,0.400608519269777
"491","skjoldborg-kallerup",430,88,24,17,21,24,17,86,136,17,0.293023255813953
"492","snedsted-noerhaa",1381,418,78,79,78,40,15,306,302,64,0.405503258508327
"493","soenderhaa-hoersted",293,61,23,29,15,11,2,52,83,17,0.31740614334471
"494","thisted landsogn",2741,881,194,123,175,62,37,336,862,71,0.411163808828895
"495","vang-tvorup",299,64,21,15,32,3,15,64,69,16,0.374581939799331
"496","skinnerup, v og oe vandet",411,82,24,24,20,10,10,48,165,28,0.316301703163017
"497","oesloes, vesloes og arup",813,273,45,23,58,26,3,131,209,45,0.462484624846248
"498","oesterild, hunstrup",735,202,19,23,41,30,6,102,297,15,0.351020408163265
"499","hanstholm",1304,317,53,77,57,35,8,319,409,29,0.309049079754601
"500","raehr/vigsoe",616,132,25,26,21,20,1,136,238,17,0.275974025974026
"501","klitmoeller",560,126,81,26,41,22,5,71,155,32,0.355357142857143
"502","froestrup",758,295,46,24,31,23,14,73,179,73,0.526385224274406
"503","lild",211,68,15,7,17,5,2,19,54,24,0.516587677725118
"504","bedsted (thisted opstillingskreds)",1376,357,91,60,99,42,34,205,441,47,0.365552325581395
"505","hurup",2253,648,108,179,139,47,46,246,799,40,0.367066134043498
"506","koldby",1235,323,74,84,95,38,9,193,367,52,0.380566801619433
"507","vestervig",1175,300,72,92,61,32,33,165,382,38,0.339574468085106
"508","ydby",871,195,57,50,73,31,13,125,290,37,0.350172215843858
"510","aalestrup",2530,539,120,78,176,86,32,338,1093,67,0.309090909090909
"511","farsoe",3038,689,155,192,229,123,66,466,1052,65,0.323568136932192
"512","strandby (himmerland opstillingskreds)",543,101,46,21,65,21,6,75,181,26,0.353591160220994
"513","hvalpsund",1106,262,80,64,128,44,8,150,330,40,0.38878842676311
"514","gedsted",1261,317,76,48,121,64,5,185,415,30,0.371134020618557
"515","vester hornum",698,141,25,50,75,31,8,92,261,14,0.329512893982808
"516","loegstoer",3306,842,138,114,645,84,14,386,994,89,0.476709013914096
"517","salling",903,175,36,24,135,42,5,122,328,36,0.383167220376523
"518","ranum",1197,254,90,34,256,45,11,150,304,52,0.469507101086048
"519","overlade",639,124,27,32,81,18,6,97,235,19,0.350547730829421
"520","aars",5894,1407,412,532,450,231,41,791,1901,128,0.336783169324737
"521","gislum-vognsild",743,151,46,44,51,43,8,117,265,18,0.296096904441454
"522","hornum-ulstrup",1168,250,61,115,106,59,8,162,382,24,0.325342465753425
"523","skivum-giver",575,138,43,34,45,26,2,91,180,16,0.346086956521739
"524","stoevring",5248,1346,407,328,366,231,26,658,1753,132,0.351371951219512
"525","skoerping",2801,789,367,150,308,130,15,208,658,175,0.454123527311674
"526","terndrup",1568,595,65,64,121,66,7,174,425,51,0.489158163265306
"527","suldrup",1770,447,103,107,131,83,12,233,583,70,0.366101694915254
"528","noerager",1899,423,122,129,148,102,32,234,653,53,0.328593996840442
"529","haverslev",821,216,61,44,58,34,8,89,290,21,0.35931790499391
"530","oester hornum",1259,297,121,96,107,69,10,115,415,29,0.343923749007149
"531","baelum",1038,378,60,39,71,67,2,122,240,59,0.489402697495183
"532","ravnkilde",626,142,42,30,49,40,4,109,189,21,0.338658146964856
"533","blenstrup",1022,402,43,31,63,66,8,131,246,32,0.486301369863014
"534","veggerby",464,103,47,19,47,28,5,47,143,25,0.377155172413793
"536","assens (mariagerfjord opstillingskreds)",1594,609,84,61,138,55,6,232,354,55,0.503136762860728
"537","mariager",2672,610,222,170,189,134,64,359,826,98,0.335703592814371
"538","arden",2320,799,134,103,198,114,14,224,639,94,0.470258620689655
"539","valsgaard",1400,348,84,62,113,67,8,163,500,55,0.368571428571429
"540","vebbestrup",1507,356,76,73,118,77,13,270,481,41,0.341738553417386
"541","hadsund",4565,1570,251,237,264,182,22,631,1254,153,0.43526834611172
"542","veddum-skelund",769,291,31,25,60,73,3,89,175,22,0.485045513654096
"543","als",1744,577,96,85,105,67,3,221,528,61,0.426032110091743
"544","hoerby (mariagerfjord opstillingskreds)",2308,612,141,109,135,110,26,326,778,71,0.354419410745234
"545","onsild",1478,363,104,66,116,68,18,224,468,50,0.357916102841678
"546","hobro",6646,2092,492,320,528,242,56,783,1853,279,0.436202226903401
"548","soenderbroskolen",6614,1919,694,366,815,382,39,598,1157,637,0.509676443906864
"549","gigantium",5375,1923,461,215,702,192,40,538,862,438,0.569860465116279
"550","vejgaard - hallen",3279,1182,306,121,391,115,40,352,516,256,0.557792009759073
"551","vejgaard oestre skole",5089,1873,422,188,628,194,39,516,857,366,0.563371978777756
"552","mellervangskolens idraetshal",2548,945,160,83,297,90,24,296,482,171,0.554552590266876
"553","klaruphallen",3030,987,235,192,247,110,12,303,857,86,0.435643564356436
"554","gug skole",5672,1669,500,343,448,204,46,595,1623,242,0.415902679830748
"555","gistrup skoles idraetshal",6015,1565,737,345,704,324,37,520,1421,361,0.437240232751455
"556","tornhoejskolen, hallen",4474,1650,336,148,642,190,40,478,566,423,0.60683951721055
"557","idraetscentret kongerslev",1369,491,63,49,112,57,8,222,322,43,0.471877282688093
"558","mou - hallen",1646,578,87,51,147,70,6,241,395,70,0.482989064398542
"559","baandby - hallen",3222,1113,204,139,245,141,20,366,866,127,0.460893854748603
"561","vesterkaerets skole",3273,1115,268,134,427,169,8,289,514,349,0.577757409104797
"562","poul paghs gades skole",5155,1268,673,254,630,363,23,327,1030,586,0.481862269641125
"563","vester mariendal skolehal",5376,1687,563,271,592,245,38,500,1105,373,0.493303571428571
"564","hallen ved skalborggaard",3338,1102,240,199,282,124,21,410,829,130,0.453565008987418
"565","kfum - hallen",8440,1788,894,814,691,433,32,652,2732,398,0.340876777251185
"566","frejlev skoles idraetshal",3280,874,277,200,237,174,28,387,1018,85,0.364634146341463
"567","svenstruphallen",4387,1392,282,261,326,153,23,535,1254,161,0.428310918623205
"568","ferslev skolehal",2212,698,127,98,166,88,11,309,642,73,0.423598553345389
"569","nibe skole",4193,1203,322,247,343,188,32,374,1328,155,0.40567612687813
"570","farstruphallen",1434,381,89,83,154,54,17,175,423,58,0.413528591352859
"572","gl. lindholm skole, kulturhus",7547,2705,589,371,731,305,26,929,1364,522,0.524446800053001
"573","loevvanghallen",6512,2613,356,251,626,208,51,865,1137,404,0.559428746928747
"574","vadumhallen",1952,635,104,102,128,52,26,238,602,65,0.424180327868852
"575","sulsted skolehal",4433,1339,316,210,310,196,43,530,1347,141,0.403789758628468
"576","vodskov hallen",4574,1401,377,266,389,162,31,478,1281,189,0.432662877131613
"577","aalborghallen",7909,1631,1132,509,898,614,47,465,1816,787,0.419269187002149
"578","vester hassing hallen",3774,1289,249,200,308,161,17,444,967,136,0.459194488606253
"579","hals skole",3068,1020,147,139,231,115,10,484,790,130,0.45013037809648
"580","ulstedhallen",949,322,48,44,63,33,10,133,265,31,0.438356164383562
"583","det gamle hovedbibliotek",5826,1385,680,321,639,364,25,577,1301,532,0.438722966014418
"584","montebello, gurrevej 90",7706,2565,599,313,801,282,24,1099,1411,610,0.515961588372697
"585","laden, gl. vapnagaard",4486,1322,435,209,463,206,7,612,906,320,0.469237628176549
"586","boelgen",3722,691,446,297,225,294,8,413,1166,182,0.295002686727566
"587","hornbaek skole",3326,610,380,235,198,224,5,396,1106,172,0.294648226097414
"588","nygaard skole",900,137,80,55,67,85,0,128,301,47,0.278888888888889
"589","tikoeb klubhus",1073,170,109,74,58,75,2,126,404,55,0.263746505125815
"590","kvistgaard idraetsanlaeg",693,146,68,27,66,40,6,107,187,45,0.370851370851371
"591","snekkersten hallen",3215,694,419,242,195,206,3,336,955,165,0.327838258164852
"592","administrationsbygningen, esp",3033,481,440,284,251,277,8,244,901,147,0.289812067260138
"593","moerdrupskolen",4465,891,581,379,326,291,7,481,1315,194,0.316013437849944
"595","asminderoed",3967,698,407,298,256,319,21,421,1384,162,0.28132089740358
"596","fredensborg",3038,385,426,300,176,301,7,237,1093,113,0.221856484529296
"597","humlebaek",3035,496,452,255,234,223,6,300,915,152,0.290609555189456
"598","baunebjerg",3061,576,450,214,269,211,9,301,811,218,0.347272133289775
"599","ulleroed (fredensborg opstillingskreds)",2734,507,368,236,225,205,7,236,806,143,0.320043891733723
"600","broensholm",3014,526,260,231,184,223,14,378,1099,99,0.268414067684141
"601","niveroed",2606,512,317,152,283,153,8,281,773,125,0.353031465848043
"602","karlebo",791,84,93,75,38,88,2,68,323,20,0.179519595448799
"603","nivaa",2342,497,330,204,241,132,11,210,575,138,0.374039282664389
"604","hoersholm",4174,433,505,567,129,391,10,367,1649,122,0.163871586008625
"605","usseroed",4390,615,541,559,152,388,7,380,1635,111,0.2
"606","rungsted",3024,129,293,489,42,505,2,128,1406,30,0.066468253968254
"607","groennegade",323,26,25,43,19,54,0,25,122,9,0.1671826625387
"608","valleroed",4399,497,475,593,163,486,8,347,1723,107,0.174357808592862
"610","frederiksborgcentret",5277,992,711,331,512,351,53,453,1427,443,0.368959636156907
"611","hilleroedsholmsskolen",4071,989,487,254,328,201,44,328,1178,260,0.387374109555392
"612","broedeskov",594,96,80,44,50,49,1,46,201,26,0.28956228956229
"613","hammersholt",1084,197,172,70,127,68,4,79,289,78,0.370848708487085
"614","alsoenderup",1601,279,159,92,92,105,14,187,600,72,0.276702061211743
"615","ulleroed (hilleroed opstillingskreds)",3175,706,365,180,226,193,38,302,977,187,0.35244094488189
"616","noedebo",1290,213,219,95,92,115,6,89,402,59,0.282170542635659
"617","gadevang",773,119,145,70,45,72,1,33,230,58,0.28719275549806
"618","kulsvierskolen",2844,633,391,164,225,151,33,244,815,187,0.367440225035162
"619","skanseskolen",4258,1026,517,253,391,203,41,442,1076,307,0.404884922498826
"620","lille lyngby",1365,222,129,60,85,79,7,189,535,59,0.268131868131868
"621","skaevinge, harloese, stroe",2478,420,200,145,147,175,10,306,992,83,0.262308313155771
"622","goerloese",831,155,73,46,51,67,10,109,289,31,0.285198555956679
"623","uvelse",900,143,98,41,54,66,2,114,341,41,0.264444444444444
"624","blistrup",3259,528,238,100,204,181,24,556,1258,169,0.276465173366063
"625","esboenderup",2129,394,214,86,172,119,9,279,702,153,0.337717238139972
"626","valby",384,49,35,17,24,23,2,46,165,23,0.25
"627","graested",3156,539,227,77,204,134,73,410,1342,149,0.282636248415716
"628","annisse",1498,244,155,71,79,101,1,149,643,53,0.251001335113485
"629","gilleleje",4558,812,342,194,346,240,46,576,1780,222,0.302764370337867
"630","soeborg (hilleroed opstillingskreds)",1036,156,99,37,81,59,3,136,400,65,0.291505791505791
"631","helsinge",4921,1014,400,238,330,215,52,632,1862,177,0.309083519609835
"632","maarum",698,112,75,29,52,53,8,75,257,37,0.287965616045845
"633","ramloese",2049,323,224,77,123,137,11,249,786,118,0.275256222547584
"634","vejby",2007,386,160,96,144,85,9,366,635,125,0.326357747882412
"635","tibirke",1397,242,218,69,135,93,13,131,353,142,0.371510379384395
"637","frederikssund syd",7248,1616,650,374,576,393,23,872,2410,331,0.348096026490066
"638","frederikssund nord",5358,1284,465,209,465,293,31,670,1665,275,0.377752892870474
"639","slangerup",5210,990,512,254,370,290,13,691,1863,227,0.304606525911708
"640","skibby",5531,1228,414,164,477,315,24,867,1715,326,0.36720303742542
"641","jaegerspris",5420,1339,423,186,506,252,19,829,1503,359,0.406642066420664
"642","hundested hallen",6544,1581,520,207,741,285,16,934,1706,554,0.439486552567237
"643","enghave hallen",2643,742,168,66,239,120,10,361,787,150,0.427922814982974
"644","raadhuset (frederikssund opstillingskreds)",5853,1619,409,222,597,246,42,868,1447,399,0.446779429352469
"645","oelsted hallen",2034,473,133,70,145,103,1,358,648,101,0.353490658800393
"646","melby hallen",2819,658,206,116,247,142,16,434,811,188,0.387726144022703
"648","vaerloese",6279,1330,913,559,436,448,9,548,1690,345,0.336200031852206
"649","hareskov",2370,367,479,228,165,216,3,127,619,165,0.294092827004219
"650","soendersoe (egedal opstillingskreds)",3151,456,555,310,225,258,13,216,994,124,0.255474452554745
"651","jonstrup",840,185,136,53,92,52,5,46,204,67,0.40952380952381
"652","stavnsholt",3806,608,568,338,264,325,7,255,1209,231,0.289805570152391
"653","solvang",4744,770,801,301,361,394,7,347,1471,292,0.29995784148398
"654","paltholm",2858,703,291,99,323,174,8,311,593,353,0.482505248425472
"655","ledoeje forsamlingshus",736,135,80,57,48,54,3,80,249,30,0.289402173913043
"656","ledoeje-smoerum idraetscenter",6471,1332,741,479,422,479,16,736,2027,238,0.307834955957348
"657","stenloese",3718,836,364,204,218,222,12,507,1232,123,0.316568047337278
"658","veksoe",1314,259,163,79,115,80,2,160,377,77,0.343226788432268
"659","ganloese",2393,403,371,158,159,178,6,209,804,105,0.278729628081906
"660","slagslunde",1139,188,155,56,87,82,3,124,352,92,0.322212467076383
"661","toftehoejskolen",4323,995,411,210,244,275,12,598,1432,145,0.320148045338885
"662","stengaardsskolen",4087,893,340,197,273,269,8,581,1365,159,0.32419867873746
"663","baekkegaardsskolen",2499,566,260,127,168,184,12,258,841,82,0.326530612244898
"664","soesum",432,56,73,23,23,35,1,40,159,21,0.231481481481481
"666","blovstroed",1825,244,281,185,125,172,9,130,618,61,0.235616438356164
"667","skovvang",3106,647,396,227,307,216,10,274,829,199,0.371216999356085
"668","lilleroed",3762,581,598,354,316,285,14,278,1202,134,0.274056353003721
"669","lynge",3307,481,379,203,191,283,14,375,1239,140,0.24553976413668
"670","ravnsholt",3631,461,527,393,217,315,20,271,1328,98,0.213715229964197
"671","bistrup",2766,407,468,262,190,293,5,193,834,112,0.256326825741142
"672","toftevang",4134,572,788,351,344,358,6,296,1179,235,0.278422835026609
"673","kajeroed",3375,601,556,296,236,275,7,260,974,168,0.297777777777778
"674","parkvej",2616,327,522,226,182,201,5,155,832,165,0.257645259938838
"675","hoesterkoeb",1507,108,225,174,55,206,1,67,617,53,0.143331121433311
"676","soelleroed",2664,162,395,296,84,394,3,107,1128,94,0.127627627627628
"677","ny holte",2075,216,295,221,82,224,5,129,823,79,0.181686746987952
"678","dronninggaard",2331,156,424,291,81,327,0,75,888,89,0.13985413985414
"679","skovly",2268,210,343,232,98,253,2,90,947,92,0.17636684303351
"680","naerum",3706,614,484,311,207,288,9,342,1252,197,0.274689692390718
"681","gl. holte",3451,428,419,317,169,383,9,253,1342,131,0.210953346855984
"682","vedbaek",4270,293,524,492,123,618,8,233,1863,114,0.124121779859485
"685","frederiksbjerg hallerne",11907,2514,2182,586,1240,825,53,578,2783,1144,0.411354665322919
"686","lokalcenter fr.bjerg/langenaes",5373,1508,783,214,556,323,49,357,1055,524,0.481667597245487
"687","rundhoejhallen,holme",5815,1746,613,237,586,224,28,541,1375,460,0.480137575236457
"688","kragelundskolen,hoejbjerg",3694,1010,544,183,364,176,24,256,873,264,0.443421765024364
"689","tranbjerg skole",5708,2063,384,239,417,161,17,732,1462,232,0.475122634898388
"690","beder skole",3162,814,418,136,334,109,14,240,876,221,0.432953826691967
"691","malling skole",3121,889,296,105,368,123,8,255,837,240,0.479653957065043
"692","maarslet skole",3416,859,496,170,320,162,7,214,987,200,0.403688524590164
"693","solbjergskolen",3329,842,276,127,275,180,7,368,1098,155,0.382096725743466
"694","skaade skole",3933,663,509,256,245,309,17,294,1406,233,0.290109331299263
"696","rosenvangskolen,viby j",4718,1259,640,233,463,217,25,374,1156,348,0.438745231030097
"697","viby hallen",7372,2250,768,297,765,347,27,764,1576,573,0.486706456863809
"698","ormslev praestegaard",391,90,37,14,32,18,1,54,108,37,0.406649616368286
"699","hasselager hallen",3842,1227,268,109,326,162,16,489,1074,171,0.4487246225924
"700","hoejvangskolen,stavtrup",2769,720,343,116,328,126,4,247,624,261,0.472733838931022
"701","engdalskolen,brabrand",5185,1273,751,254,466,255,45,480,1375,285,0.390356798457088
"702","globus 1",3880,1250,809,66,417,110,86,250,336,548,0.570876288659794
"703","skjoldhoejskolen",3917,1181,369,108,422,154,32,419,857,359,0.500893540975236
"704","havkaer lokalcenter,tilst",4945,1765,408,161,425,184,34,553,1089,318,0.507178968655207
"705","naeshoej hallen, harlev",2900,861,241,107,208,123,9,319,888,144,0.418275862068965
"706","borum forsamlingshus",489,130,61,13,49,15,3,42,123,53,0.474437627811861
"707","sabro-korsvejskolen,sabro",2072,599,166,79,168,93,4,288,575,100,0.418436293436293
"708","soendervangskolen,viby j",1986,843,155,48,211,42,4,233,238,200,0.631419939577039
"709","aaby skole",4350,1362,575,145,592,169,25,320,650,511,0.566666666666667
"711","gammelgaardskolen,aabyhoej",2874,764,426,113,348,130,19,210,599,258,0.476687543493389
"712","hasle skole",5101,1394,787,189,596,267,71,352,931,510,0.490099980396001
"713","skovvangskolen",8359,1939,1608,311,1106,495,69,429,1397,999,0.483789927024764
"714","moellevangskolen",8758,2099,1545,343,988,656,82,498,1628,910,0.456382735784426
"715","lisbjergskolen",1029,244,158,29,144,63,11,83,210,86,0.46064139941691
"716","lystrup skole",7222,2021,731,338,671,314,38,724,2028,354,0.421766823594572
"717","bjoernshoejcentret,trige",1874,656,151,49,206,63,11,235,375,127,0.527748132337246
"718","spoerring faelleshus",677,170,53,30,62,27,5,70,223,36,0.395864106351551
"719","haarup hallen",1258,335,104,34,108,32,4,153,432,56,0.396661367249603
"720","center -10 (frydenlundskolen)",7389,2429,1009,210,961,277,81,571,906,930,0.584652862362972
"721","katrinebjergskolen",3888,906,746,143,466,253,38,183,704,448,0.468106995884774
"722","vorrevangskolen",2672,1003,250,42,400,74,22,277,256,343,0.653443113772455
"724","raadhushallen",10972,2011,2222,489,1227,941,42,372,2246,1415,0.424079475027342
"725","samsoegades skole",11234,2083,2562,412,1473,826,68,399,1837,1572,0.456471426028129
"726","bellevue-hallen",6908,1220,1062,436,534,452,54,387,2380,382,0.309206716850029
"727","virupskolen,hjortshoej",2079,633,280,56,285,40,7,152,371,254,0.563732563732564
"728","soelystskolen,egaa",3269,760,349,205,223,144,6,319,1107,154,0.34781278678495
"729","skaering skole",3300,664,296,201,198,166,6,346,1273,150,0.306666666666667
"730","skoedstrup hallen",4929,1207,543,209,385,304,21,470,1543,245,0.372692229661189
"731","vejlby skole",6557,1864,1028,218,840,311,92,438,1008,753,0.52722281531188
"732","jellebakkeskolen,risskov",5279,1416,768,232,595,226,33,379,1247,382,0.453305550293616
"734","ebeltoft",6025,1445,554,253,480,216,11,785,2009,271,0.36448132780083
"735","mols",2712,602,246,85,262,111,9,353,811,230,0.403392330383481
"736","tirstrup",1522,452,109,38,169,49,3,200,395,106,0.477660972404731
"737","kolind",2164,615,128,80,186,86,9,287,669,103,0.417744916820702
"738","ryomgaard",2962,943,212,88,207,114,9,383,869,137,0.434503713706955
"739","hornslet",4614,1275,405,193,383,185,14,532,1422,205,0.403771131339402
"740","moerke",2300,676,157,63,195,83,11,331,684,99,0.421739130434783
"741","roende",4970,1215,574,204,410,241,34,545,1478,268,0.380885311871227
"742","kulturhuset pavillonen",5733,1866,365,180,361,259,34,731,1753,183,0.420373277516135
"743","anholt skole",106,22,19,2,14,5,0,14,18,12,0.452830188679245
"744","kulturhuset stationen",1740,480,97,37,123,69,4,293,548,88,0.397126436781609
"745","soendre skoles festsal",4393,1711,222,100,299,138,15,677,1039,191,0.501024356931482
"746","glesborg",3377,890,236,107,250,129,28,446,1066,224,0.403908794788274
"747","oerum (djurs opstillingskreds)",1434,406,75,48,103,49,5,196,475,77,0.408647140864714
"748","oersted (djurs opstillingskreds)",2081,645,121,60,153,93,15,301,572,121,0.441614608361365
"749","allingaabro",2880,954,176,55,257,106,38,347,834,113,0.459722222222222
"750","auning",2603,766,151,74,179,103,11,354,852,112,0.406069919323857
"752","havndalhallen",1017,315,39,22,74,37,2,140,357,31,0.412979351032448
"753","raaby forsamlingshus",793,257,32,18,63,25,7,125,224,42,0.456494325346784
"754","oester toerslev fritidslokaler",1006,326,34,19,82,33,5,131,332,44,0.449304174950298
"755","korshoejskolen",1727,534,98,45,122,55,4,207,612,50,0.408801389693109
"756","hald forsamlingshus",1058,366,58,19,80,32,7,166,303,27,0.447069943289225
"757","gjerlev enslev skole",974,301,50,29,65,35,20,145,286,43,0.419917864476386
